sample,Max Distance,angle-20_35,angle-35_50,angle-50_65,angle-65_80,diaphyseal bending,Area 20%,Perimeter 20%,Ix 20%,Iy 20%,Ixy 20%,Imin 20%,Imax 20%,Theta 20%,Area 35%,Perimeter 35%,Ix 35%,Iy 35%,Ixy 35%,Imin 35%,Imax 35%,Theta 35%,Area 50%,Perimeter 50%,Ix 50%,Iy 50%,Ixy 50%,Imin 50%,Imax 50%,Theta 50%,Area 65%,Perimeter 65%,Ix 65%,Iy 65%,Ixy 65%,Imin 65%,Imax 65%,Theta 65%,Area 80%,Perimeter 80%,Ix 80%,Iy 80%,Ixy 80%,Imin 80%,Imax 80%,Theta 80%
133-Ulna_R,248.3605043111,5.053020467,6.0626962137,1.3650306926,0.6432595759,13.1240069491,240.2955712437,57.8485838084,5287.2972656341,4323.3159421568,991.0142683099,3703.2974033907,5907.3158044002,-32.0317600122,137.7538601236,44.1661120836,1373.9291184814,1809.1821387763,-25.1696138786,1372.4784564229,1810.6328008348,86.7013811527,126.2109669629,45.2240394186,1114.8641028202,1838.9115390228,337.9339172791,981.6499943013,1972.1256475417,-68.4855591843,110.6165595475,38.7560932029,904.8722301262,1113.2647636028,96.3006777106,867.1858604014,1150.9511333276,-68.6275740274,111.8224190244,38.2982767421,1049.1866153378,964.7173352333,-5.1653557203,964.4026425051,1049.501308066,3.486363316
134-Ulna_L,263.4702989774,3.3206681584,4.8578365122,3.7491504945,2.7850475353,14.7127027005,212.4909123848,55.0455805847,4209.5670552239,3244.3305972137,-280.9946683944,3168.4881215724,4285.4095308652,15.1046176148,144.6119312991,46.1517650777,1730.5707504718,1814.6079462488,-169.8007910957,1597.6668763185,1947.5118204021,51.9495469739,126.3304655795,41.9264373592,1222.5350255525,1452.2132831147,-277.0698630152,1037.4479392566,1637.3003694106,56.2564449185,101.3159081803,36.9504680924,699.8428170056,983.7386886709,-33.5799923436,695.9249502218,987.6565554547,83.3452365863,84.4628613533,33.6126638619,609.6110542937,571.240372278,118.2765615846,470.6032515775,710.2481749943,-40.3932222129
134-Ulna_R,265.4299916363,3.6822572545,5.8729389573,4.6748639032,3.3024140073,17.5324741223,233.6902630664,56.8299328806,5541.1797911741,3553.9754948907,-24.5474718653,3553.6723119436,5541.4829741212,0.707617476,151.4378573332,47.4647808294,1940.5009159354,1948.6422840686,-45.3417644234,1899.0474737633,1990.0957262407,47.5650678702,132.7447276491,42.6798416099,1269.5104178951,1626.417702484,124.4851588723,1230.3813006988,1665.5468196803,-72.5506291544,106.2491579447,37.8734851464,739.2196535488,1131.1160367019,15.0728000003,738.6407907995,1131.6948994511,-87.8006673525,88.3809811913,34.1004058717,652.2345028952,634.2256884234,-147.7696523117,495.1863538328,791.2738374857,43.2564843646
135-Ulna_L,274.1697051066,2.9699753837,3.5386524297,1.1164708399,1.3299203018,8.9550189551,250.1391949247,60.6621953705,6725.3574728395,4034.3774436965,-981.7164100413,3714.301341581,7045.433574955,18.0578967811,148.4528607015,45.245957695,2334.5746335281,1410.7872633673,-237.776042506,1353.1780873324,2392.183809563,13.619370137,123.5662201074,42.6876808844,1825.2630317246,880.9298221789,123.4898146935,865.048235688,1841.1446182154,-7.328380515,101.4285214369,36.4434395359,977.9191992324,699.5137684844,94.5333435128,670.4489914446,1006.9839762722,-17.0903227999,92.3370076981,35.031733751,743.0033824389,641.1978641762,6.6087823358,640.7706428756,743.4306037395,-3.6987094387
135-Ulna_R,273.3401017535,3.1143665656,4.1790841854,2.1099527245,2.0070831536,11.4104866292,243.1108910536,60.8721662361,5448.2797649305,4715.9650619505,1346.6924747499,3686.5394429231,6477.705383958,-37.3946692038,142.1416147399,44.975634549,1561.773799049,1976.931360924,542.479383546,1188.514537269,2350.1906227041,-55.4696308052,113.2913841507,41.043622864,1119.3891077282,1236.0250540258,523.0821368503,651.3840736998,1704.0300880542,-48.1807928486,90.8776365882,35.4799911738,667.1093572667,719.1109471894,191.6305599952,499.7237182088,886.4965862473,-48.8634069746,78.8763432768,32.0395788206,476.4607222943,535.0330495576,86.5249396481,414.4000493011,597.0937225508,-54.3497288868
136-Ulna_L,232.4700797362,4.0901259383,5.3891742048,2.5495393158,1.4586124794,13.4874519383,135.9493985913,43.026652796,1858.8877301132,1217.3907536875,-115.0656253326,1197.3758477043,1878.9026360963,9.8674951197,93.0893950685,35.7167337228,804.459337076,630.7056870948,-7.2751882004,630.4016019972,804.7634221735,2.3934304879,74.7561849966,31.8742870347,484.4386826,427.9389456317,-22.6580496896,419.9749730449,492.4026551867,19.3658279515,60.8173800971,28.1788314896,307.5854277696,286.3473418802,10.4489731487,282.0685624027,311.8642072471,-22.2687473314,48.6219472406,25.4288517801,171.2197415335,215.5554651889,29.1492380755,156.7666779442,230.0085287782,-63.6264111143
136-Ulna_R,235.8099328725,3.7407665529,4.2753426946,1.6392914849,1.4527738896,11.108174622,143.5389747861,44.0725913956,1786.3310818373,1579.9712240127,141.5426073994,1507.9929174926,1858.3093883573,-26.9545876842,102.0837946239,37.8743134122,854.750530532,893.8906314242,2.8456024072,854.5447288467,894.0964331095,-85.8634160055,84.5246429356,35.3212605867,553.160432552,669.8855894776,36.6194403843,542.6232724167,680.4227496129,-73.9469483411,68.7292209394,30.3421591539,398.9566358268,369.5152101523,-7.3310759093,367.7907394873,400.6811064919,13.2369032317,52.8475673329,26.5125977933,274.2254097002,183.8084302771,3.7757581611,183.6510309123,274.382809065,-2.3870969413
137-Ulna_L,228.5502718782,3.2088872168,4.7094849503,1.492355998,0.2455572458,9.6562854108,193.4454998659,51.1248919261,3326.6002468411,2775.4054265536,135.8735213451,2743.7317084073,3358.2739649875,-13.1219829744,106.7069029894,38.3034278719,839.4068683384,1047.0280037361,18.3839794099,837.79161062,1048.6432614544,-84.9787585929,86.8833894979,35.1579883478,781.0391732358,541.7920697805,-182.5453982255,443.1666431801,879.6645998362,28.381416856,69.8812283042,30.6622339994,515.2071256142,305.6371419534,-39.8648202577,298.3101433141,522.5341242535,10.4145082873,71.5512677389,30.6878567914,398.0574964424,434.0148073507,-23.5864412213,386.3789055405,445.6933982526,63.6581468134
137-Ulna_R,232.3397025776,3.454277819,4.4032728533,0.1216997015,1.3628117724,9.3420621461,210.6533877598,54.8879654781,4316.6471505973,3086.8325240028,108.7908662777,3077.2829080152,4326.1967665849,-5.0165409598,115.7519462834,39.6224789795,1032.549396124,1178.5462831986,-131.5442824731,955.1062529566,1255.9894263661,59.5136998994,91.3113983319,36.94797918,467.9158581174,1062.186942139,103.4646437185,450.4175449475,1079.6852553089,-80.4007652557,73.6018156138,31.8060740577,347.7841515425,562.7036260305,38.835867398,340.981822793,569.50595478,-80.0650913972,76.7993221075,31.7127110255,487.8299642708,469.8680564352,-54.9881063282,423.132321912,534.565698794,40.3620225382
138-Ulna_L,232.6700231122,2.5521093364,3.0473221403,2.5033427282,1.5234627561,9.626236961,206.1101183689,52.2717607113,3961.5001486582,2957.6050481535,86.7727808503,2950.1599613362,3968.9452354755,-4.9039560129,121.0805965706,40.4542126897,1213.5396963611,1185.4356113682,-36.3020100451,1160.5608529219,1238.4144548074,34.4196092652,101.8376060083,38.7001827489,885.9020522283,906.4234314501,-226.5874448121,669.3430956492,1122.9823880292,46.296393227,90.455509216,35.1077281373,610.8154796049,739.9757319092,-83.8478462681,569.5605736664,781.2306378477,63.8018426062,86.8282248327,33.4239177993,597.6832768367,619.8636360489,82.2783339997,525.7510719343,691.7958409512,-48.8382753219
138-Ulna_R,234.749958586,2.8722036415,3.2277641018,2.840637927,1.9747019839,10.9153076543,204.17540566,52.0882235541,3978.2259495601,2821.4147320378,63.1857904657,2817.9737180854,3981.6669635125,-3.1171726565,134.297561352,41.8881769247,1357.1066873481,1565.0695380117,-91.1929601845,1322.7830411848,1599.3931841749,69.3744241658,110.7585043931,41.0069479141,883.7120408915,1258.7384803913,166.0133443485,820.7823767682,1321.6681445146,-69.2400910297,95.2552809408,36.5134548724,639.8181084726,863.1708875041,21.9466557182,637.6820572251,865.3069387516,-84.440954969,87.2168637134,33.6994124115,665.4047181849,563.1537811314,-40.8299008528,548.8507059197,679.7077933966,19.3058088326
139-Ulna_L,234.249806005,3.6859936844,5.4304239638,3.4603830519,2.1030881676,14.6798888677,246.6586675267,58.5521826274,5431.9219392285,4453.7327498689,50.7962929631,4451.1020290282,5434.5526600692,-2.964678104,136.0101758333,43.9994113465,1495.287757282,1597.3638669338,-46.2241644561,1477.4668517608,1615.184772455,68.9167408294,114.4358436707,41.8269752741,1078.2773238331,1235.0686691294,-288.8808269627,857.3437234781,1456.0022694844,52.5915481632,98.7909521314,36.6517826999,828.1247702943,785.1687543763,-167.0988034832,638.1732779189,975.1202467517,41.3378295031,85.5094910455,33.3910602415,665.6848654782,519.8831231382,16.3881824848,518.0637859138,667.5042027026,-6.3347629476
139-Ulna_R,234.3499420633,3.3235021637,5.3209290872,3.365435918,1.819573214,13.829440383,259.0641032549,59.3486848972,6264.3816022498,4661.5286911206,197.1712386829,4637.6304463142,6288.2798470562,-6.9108550303,141.319064349,45.040497577,1706.7638883462,1625.3579074668,-66.9942629677,1587.6710726655,1744.4507231475,29.3594179022,118.7428765265,41.9986556288,1076.8481892027,1339.5132620712,125.131278628,1026.7804168795,1389.5810343944,-68.192566862,101.2003826553,37.5153697712,776.4763856637,918.7559968583,86.2005805396,735.8512055732,959.3811769487,-64.7661255108,86.4026842927,33.6347828032,648.9786631907,567.9958479917,100.8907807797,499.774313695,717.2001974874,-34.0662413582
140-Ulna_L,274.1399816865,3.999272253,4.9001509496,0.4137027745,1.3307144911,10.6438404682,275.7563188908,66.2954331957,7289.4342312226,5651.0894565864,655.5066551838,5421.1039076839,7519.4197801252,-19.3335021307,160.3851566916,51.6098796485,1665.0228526734,3157.539478852,278.4492472281,1614.7666002105,3207.7957313148,-79.769044424,141.9356453114,50.6355393019,1388.2286154582,2945.2270306007,-826.055733775,1031.6379184441,3301.8177276148,66.6511693562,122.3705752676,43.8918979852,956.3016701773,1879.5649157297,-430.5651479,786.6725688996,2049.1940170075,68.4971225519,112.1985510638,38.459893799,851.2173973367,1211.8131172242,28.2495494845,849.0177084027,1214.0128061582,-85.5475716379
140-Ulna_R,279.8704272341,2.7493443341,2.9599126735,1.8433965353,1.7788079058,9.3314614487,285.8567846285,65.5519733831,7759.0134250934,6044.226230497,1010.7800555515,5576.1764674856,8227.0631881048,-24.8468717571,176.3558002074,52.1116243135,3181.8143254594,2189.9864863503,-154.9116884193,2166.3542127547,3205.4465990551,8.6737802197,143.5114425609,49.7010521093,2545.3053525836,1392.7692312234,-252.1574799156,1340.015613074,2598.058970733,11.8163663537,127.180142248,43.1978288866,1678.2343881447,1115.9454348222,-211.9808838627,1044.9846546634,1749.1951683035,18.508013444,120.428817826,39.9478925632,1170.2460176643,1198.3979865388,128.1104899875,1055.4405411278,1313.2034630753,-48.1350766313
141-Ulna_L,247.1498987635,3.8851929024,4.9066595946,0.8853023276,1.3011982958,10.9783531204,288.5141792007,67.1773879583,8000.132176512,6221.3197867798,102.1752851233,6215.4700582607,8005.9819050311,-3.2767148616,167.1931851929,48.8413571553,2025.8495407438,2685.2015301864,121.276938452,2004.2502057083,2706.8008652219,-79.9015468069,144.1298054713,49.3541773078,1574.8561626976,2403.6523631738,-591.7775144618,1266.8095161879,2711.6990096836,62.5010077335,113.0057192759,41.3409069942,980.3975935839,1274.5697914497,-250.4754294808,837.0146558315,1417.9527292021,60.2113170224,89.2963258228,34.5760418374,706.9565778287,588.8729823959,24.9647770204,583.8119411014,712.0176191232,-11.4601048359
141-Ulna_R,246.2100407311,3.9207678434,5.2504775691,0.1111396892,1.4014810235,10.6838661252,306.8080589971,70.1447077674,9275.0017267587,6975.675292466,-88.7622500048,6972.2538423458,9278.4231768789,2.2074434565,177.5328088837,50.9732868762,2451.6139258335,2928.8664985851,-274.6000002527,2326.4440265665,3054.0363978521,65.4952542985,148.4919650254,49.6655040977,1460.7534035019,2726.3714512056,388.7008661509,1350.9079828005,2836.216871907,-74.2199051855,118.782934299,42.4905906689,928.4864371803,1579.0742985509,166.2282364447,888.4750600309,1619.0856757003,-76.4662716487,104.1212332396,37.0412363436,919.4782598384,834.2743865139,-46.8477637953,813.5546208933,940.198025459,23.8587833385
142-Ulna_L,252.139652773,3.4810949211,4.441722519,3.5149753811,2.2178930063,13.6556858276,253.1539907409,59.2419030655,5609.9335771333,4934.3679413537,1.355788212,4934.3652204422,5609.9362980447,-0.114985904,143.8172506593,47.7497933274,2032.7999386567,1623.6318898071,-1.0373376487,1623.629259928,2032.8025685358,0.1452570894,121.3338157916,43.811454788,1532.1833616111,1064.9752867872,81.1956859543,1051.2665956292,1545.8920527692,-9.5831701701,102.7410864801,38.7475204836,870.7834843823,885.456386333,86.8243247503,790.9862054866,965.2536652288,-47.4149426781,85.9652082995,34.3846831378,522.0953552005,742.0126075034,-170.6453371824,429.0497189159,835.058243788,61.3982457009
142-Ulna_R,255.0307781123,4.375880927,4.9209441155,2.2189643269,1.7628948207,13.2786841902,279.0675618081,63.7125732137,6935.214214681,6394.5704572093,1157.0053930503,5476.727617705,7853.0570541853,-38.4246778984,157.4026900217,47.9096730049,2170.2758265625,2053.1837291752,149.883151142,1950.8180044839,2272.6415512538,-34.3319115068,135.4654438931,47.3053938175,1561.9892342584,1734.4878617507,303.0119893283,1333.1905995929,1963.2864964162,-52.9442349303,113.16012646,40.0519850069,1008.7281187862,1112.8052899852,9.5037534335,1007.8674064648,1113.6660023065,-84.8250958063,97.0097943343,35.5994296948,899.2398648706,636.8995335052,14.2624028317,636.1264216033,900.0129767724,-3.1027548846
143-Ulna_L,215.749749038,4.4474518918,5.7565281187,2.1005262069,1.0737081269,13.3782143443,179.2107884653,52.8573436818,3052.8665423183,2375.6773679569,226.836724734,2306.7168126647,3121.8270976106,-16.9097784011,105.8807513046,38.4816846505,868.4505918201,993.5582132063,33.6383420056,859.9796372189,1002.0291678075,-75.8654183782,89.946370792,38.5155679709,826.5536573276,701.0768692879,239.1638743149,516.5593940923,1011.0711325232,-37.6505686305,77.666009032,33.3711554232,474.565439267,558.0744679864,122.4333217872,386.9624731577,645.6774340956,-54.4156841312,70.5428596017,30.8226492916,491.653130417,333.4095251482,29.1487877576,328.2110367498,496.8516188154,-10.1119993142
143-Ulna_R,218.0004217559,4.8737026992,6.488418753,2.1985918269,1.1359304135,14.6966436925,180.3214823373,53.7911771932,3116.9415331338,2427.9486146022,69.8791215137,2420.932766729,3123.9573810071,-5.7332707071,106.5670773705,38.4168307142,972.7172191408,914.9376464596,-108.8009626193,831.2562587738,1056.3986068266,37.5647340188,91.84330346,37.903906229,553.2864572427,975.3468185779,74.2829736949,540.5942712736,988.0390045471,-80.3039234572,79.8685545651,33.2714790802,427.0626401569,646.8464693127,0.4002252547,427.0619113512,646.8471981185,-89.8956651331,68.9740906513,30.8984414471,516.4066177769,303.6587594226,-81.244536054,276.1816988865,543.883678313,18.6856371476
144-Ulna_L,231.9000008375,3.2911603539,4.4491107295,1.1756710876,1.2862734154,10.2022155863,162.5263066403,48.3289026172,2925.9320397251,1596.1022130517,207.7653569471,1564.3979438181,2957.6363089587,-8.6762055491,102.9125664078,36.7574930664,801.7001105806,914.3317804113,64.4173113793,772.4527333803,943.5791576116,-65.5805370872,87.8071388058,36.1078398218,847.229357623,509.9852484828,-89.2260479226,487.8333925847,869.3812135212,13.9427361041,71.3197860019,30.5110135704,499.926570872,333.0467905268,-15.6847790606,331.5853994005,501.3879619983,5.3230270548,62.925762904,28.4639493693,332.1047242006,304.6131029956,-25.0216186718,289.8102059202,346.907621276,30.6087413371
144-Ulna_R,240.0202446302,3.5016871672,4.3434299641,1.150128899,1.5071436608,10.5023896911,169.205241088,50.7224270522,2829.4439134205,2118.6465363052,644.9926459037,1737.6188937893,3210.4715559363,-30.5723541395,109.3061395623,37.6690531633,1117.6881093327,816.591910938,6.2563127501,816.4619705238,1117.8180497468,-1.1898329522,95.4682222342,37.62315971,820.5865007906,749.1067614953,-140.2131977512,640.1501242533,929.5431380325,37.8500050463,75.9660122437,31.8532157528,509.098753232,436.3227239598,-67.8070769509,395.75693886,549.6645383318,30.8900986925,68.6283094858,29.7537715992,349.572194335,407.4774606792,-5.6141866898,349.0328953936,408.0167596206,84.5130015228
145-Ulna_L,264.0701112387,4.9617692601,5.08746685,1.9195502966,1.4424919597,13.4112783664,295.6132433179,68.8916371589,8515.0842149357,6362.4347713325,559.5142087919,6225.6926950553,8651.8262912129,-13.733556516,158.5820083027,47.6030644083,1897.4845540439,2348.057108339,44.0892054917,1893.2108941121,2352.3307682708,-84.4634957108,141.6685878959,46.8626921381,1627.8222828523,1871.2285088413,-308.3664325139,1418.0114377486,2081.039353945,55.768841881,120.8787332164,42.4960110533,1150.8498524122,1298.7778281944,-186.1305208488,1024.5259417768,1425.1017388299,55.8358673914,105.786009013,37.2490317195,1038.4794899661,783.68276623,45.9230488794,775.6585708004,1046.5036853958,-9.9113086164
145-Ulna_R,266.1699744396,4.5748196489,4.6459214463,1.4265749674,1.4192662562,12.0665823189,330.8078123039,70.1907906065,10221.3565208987,8010.9844421846,501.5817631651,7902.4899441969,10329.8510188865,-12.2053125288,170.5824165976,51.131256901,2652.5819671347,2455.6094941871,-471.4647229774,2072.4542418054,3035.7372195164,39.1004585472,150.6900291138,48.4244958369,2248.8268407347,1784.7261923485,-457.3639054671,1503.9128943356,2529.6401387476,31.5491844497,122.5670014034,42.0267172648,1403.058547394,1121.3461170637,-152.4161687667,1054.6664031656,1469.7382612921,23.6286331107,106.4680553796,37.4031746816,830.4966282956,1007.3024255436,15.6585823852,829.120555621,1008.6784982182,-84.9777620219
146-Ulna_L,252.4795883536,4.5599574482,5.0242445904,1.4840143086,1.4541313944,12.5223477417,327.1999174425,67.7015644367,10796.832203638,6933.0767493296,-838.2713884953,6759.0460089942,10970.8629439734,11.7283808779,183.3264763831,50.1259679575,2539.5763977309,3025.7474172682,408.2020372192,2307.5624776436,3257.7613373555,-60.3869612344,149.1149104064,48.8971975861,2196.4111566002,1833.1202390701,-425.3998129755,1552.2075138522,2477.323881818,33.4387738031,134.4895783256,43.6668211913,1631.9078576233,1444.8730612182,-374.8197888813,1152.0805088582,1924.7004099832,37.9953712214,121.1544664818,39.984860749,1028.3925486647,1370.6996506652,-87.5090860821,1007.3186870337,1391.7735122963,76.4598985901
146-Ulna_R,251.3504733871,5.1581598016,6.242106636,1.751359013,1.7056825454,14.8573079961,355.066312333,69.6869562999,12385.0146863473,8426.9487134899,1383.8476610679,7991.1098792176,12820.8535206196,-17.4816709337,191.4794116878,51.5911592764,2992.7798477402,3135.4738035384,-623.5613945667,2436.4969952064,3691.7566560722,48.2636566432,151.7805034119,48.6169731321,1846.6084000939,2245.9260501134,336.343890649,1655.126765446,2437.4076847613,-60.3470046149,139.777197327,44.1474241344,1455.0975998993,1780.0324381953,87.3837462418,1433.0885127061,1802.0415253885,-75.8631188552,124.671701442,40.2426738554,1160.2129387021,1356.3199073336,-154.1466108287,1075.5763482561,1440.9564977795,61.2303289904
147-Ulna_L,282.0294336413,4.1449078967,5.4219046029,1.3648424204,0.7922633607,11.7239182807,295.0388846511,65.8052560202,8144.3496704864,6335.0665883684,-643.3063518025,6129.6543559195,8349.7619029352,17.7086475292,173.0888426247,48.3518889605,2216.824531199,2731.7288550768,355.9404976158,2034.9872059771,2913.5661802987,-62.9391290066,148.9444146941,46.0364536071,1532.3391108318,2223.5585046138,-111.7400793516,1514.724485962,2241.1731294836,81.0416549138,128.1915642731,42.7695104555,1243.7151790323,1528.599361947,-213.4971348014,1129.5042440373,1642.810296942,61.8553120065,113.2237826417,38.0646299978,1014.9931221205,1034.210868988,41.3320658916,982.1676919835,1067.036299125,-51.5438193694
